zone_id,zone_name,population,flood_exposure,drainage_vulnerability,rainfall_risk,infrastructure_vulnerability,lat,lon
Z01,Shahdara,56905,39,23,77,55,31.46898,74.2307
Z02,Baghbanpura,21717,94,31,67,74,31.42636,74.22061
Z03,Township,30247,89,23,65,45,31.5632,74.35429
Z04,Model Town,42493,53,77,67,55,31.58189,74.20143
Z05,Gulberg,25463,79,63,47,39,31.46306,74.36797
Z06,Johar Town,21698,36,68,36,65,31.5895,74.33282
Z07,Wagah,17847,83,88,37,68,31.43576,74.2645
Z08,Harbanspura,56198,71,93,42,28,31.42916,74.25014
Z09,Nishtar Colony,33965,35,49,85,32,31.49603,74.29975
Z10,Samanabad,38909,45,67,52,46,31.55404,74.3544
Z11,Icchra,59796,34,41,64,51,31.45268,74.28348
Z12,Mughalpura,56943,53,61,83,27,31.46581,74.20706
Z13,Shad Bagh,35673,76,54,34,47,31.60263,74.32478
Z14,Ravi Road,62049,65,47,71,83,31.49913,74.4012
Z15,Data Ganj Bakhsh,45071,43,53,38,51,31.569,74.31858
Z16,Green Town,63956,79,94,55,66,31.46386,74.41946
Z17,Walton,48392,88,31,78,26,31.59222,74.23363
Z18,Faisal Town,25484,79,28,54,68,31.53918,74.30297
Z19,Allama Iqbal Town,31476,95,21,73,34,31.55634,74.31813
Z20,Gulshan-e-Ravi,32486,68,34,48,75,31.45163,74.20071
Z21,Chah Miran,62323,58,84,78,42,31.52154,74.22341
Z22,Anarkali,55979,63,84,68,45,31.45057,74.36775
Z23,Garhi Shahu,50348,92,20,68,61,31.51772,74.22461
Z24,Cantonment,38788,64,50,33,50,31.5956,74.40833
Z25,Askari,20613,87,28,78,88,31.57317,74.22825
Z26,Sabzazar,46148,95,41,46,87,31.59449,74.29309
Z27,Wahdat Colony,28880,94,45,75,59,31.4998,74.34777
Z28,Thokar Niaz Baig,39472,81,86,58,35,31.46958,74.21409
Z29,Raiwind Road,16378,95,49,67,48,31.42144,74.35573
Z30,Shalimar,18858,54,28,87,24,31.59193,74.21559
